,Год_сдачи,Название_квартала,Цена,Компания,Адрес,Класс_недвижимости,Площадь,Конструкция,Мин_цена,Макс_цена,Мин_площадь,Макс_площадь,Средняя_цена
0,БУДЕТ СДАН В 2026,"ЖК «Академический», г. Екатеринбург","[2495810, 7096500]",ГК «Кортрос»,г. Екатеринбург ул. Павла Шаманова 13,Комфорт класс,от 23 до 165 м2,Монолитный,2495810,7096500,23,165,4796155.0
1,БУДЕТ СДАН В 2024,"ЖК «Новый ВИЗ», г. Екатеринбкрг","[3066310, 7441680]",ГК «Астра»,г. Екатеринбург ул Металлургов,Комфорт класс,от 28 до 76 м2,Монолитный,3066310,7441680,28,76,5253995.0
2,БУДЕТ СДАН В 2024,"ЖК «Екатерининский парк», г. Екатеринбург","[4330000, 21500000]",TEN,г. Екатеринбург ул Азина,Комфорт класс,от 42 до 230 м2,Монолитный,4330000,21500000,42,230,12915000.0
3,БУДЕТ СДАН В 2024,"Жилой квартал FORUM CITY («Форум Сити»), г. Екатеринбург",[14857900],Холдинг «Форум-групп»,"г. Екатеринбург ул Шейнкмана 57А УИБ, 119 м",Бизнес класс,от 52 до 162 м2,Монолитный,14857900,0,52,162,14857900.0
4,БУДЕТ СДАН В 2024,"ЖК «Александровский сад», г. Екатеринбург","[9344120, 17560500]",Холдинг «Форум-групп»,"г. Екатеринбург ул Декабристов Телебашня, 237 м",Бизнес класс,от 54 до 200 м2,Монолитный,9344120,17560500,54,200,13452310.0
5,БУДЕТ СДАН В 2023,"Клубный дом RedRock, г. Екатеринбург","[5511000, 13500000]",TEN,г. Екатеринбург ул Большакова 66,Комфорт класс,от 35 до 98 м2,Монолитно-кирпичный,5511000,13500000,35,98,9505500.0
6,БУДЕТ СДАН В 2023,"ЖК VENEZIA («Венеция»), г. Екатеринбург",[2659670],ГК «Астра»,г. Верхняя Пышма ул Александра Козицына,Комфорт класс,от 34 до 54 м2,Монолитный,2659670,0,34,54,2659670.0
7,БУДЕТ СДАН В 2023,"ЖК Botanika Green House, г. Екатеринбург","[3808000, 15586000]",ООО «Синара-Девелопмент»,г. Екатеринбург ул. 8 Марта 204Г,Комфорт класс,от 27 до 121 м2,Монолитно-кирпичный,3808000,15586000,27,121,9697000.0
8,БУДЕТ СДАН В 2023,"ЖК «Ботаника Life», г. Екатеринбург","[6137000, 9653000]",TEN,г. Екатеринбург ул 8 Марта 204,Комфорт класс,от 49 до 86 м2,Монолитный,6137000,9653000,49,86,7895000.0
9,БУДЕТ СДАН В 2023,"ЖК «На Некрасова», г. Екатеринбург","[7430000, 28580000]",Брусника,г. Екатеринбург ул Печерская,Комфорт класс,от 43 до 217 м2,Монолитный,7430000,28580000,43,217,18005000.0
10,БУДЕТ СДАН В 2023,"ЖК «Нескучный сад», г. Екатеринбург",Продано,АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Авиационная,Комфорт класс,от 26 до 111 м2,Монолитно-кирпичный,0,0,26,111,0.0
11,БУДЕТ СДАН В 2023,"ЖК Repin Towers, г. Екатеринбург","[4800000, 10800000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Репина,Комфорт класс,от 29 до 130 м2,Монолитно-кирпичный,4800000,10800000,29,130,7800000.0
12,БУДЕТ СДАН В 2023,"ЖК Discovery residence, г. Екатеринбург","[4250000, 17750000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Гагарина,Бизнес класс,от 46 до 159 м2,Монолитно-кирпичный,4250000,17750000,46,159,11000000.0
13,БУДЕТ СДАН В 2023,"ЖК «Народные кварталы», г. Екатеринбург","[2200000, 9500000]",АТОМСТРОЙКОМПЛЕКС,г. Екатеринбург ул. Победы,Комфорт класс,от 19 до 132 м2,Монолитно-кирпичный,2200000,9500000,19,132,5850000.0
14,БУДЕТ СДАН В 2023,"ЖК «Высота», г. Екатеринбург","[6164140, 14450000]",Холдинг «Форум-групп»,г. Екатеринбург ул Нагорная 12,Комфорт класс,от 40 до 102 м2,Монолитный,6164140,14450000,40,102,10307070.0
15,БУДЕТ СДАН В 2023,"Клубный дом «19/05», г. Екатеринбург","[9962000, 23600000]",TEN,г. Екатеринбург ул Февральской революции,Бизнес класс,от 53 до 118 м2,Монолитный,9962000,23600000,53,118,16781000.0
16,БУДЕТ СДАН В 2023,"ЖК «Татлин», г. Екатеринбург","[3549600, 7780500]",PRINZIP,г. Екатеринбург ул Готвальда 22,Комфорт класс,от 29 до 83 м2,Монолитный,3549600,7780500,29,83,5665050.0
17,БУДЕТ СДАН В 2023,"ЖК «Дом на Бардина», г. Екатеринбург","[4187000, 10530000]",TEN,г. Екатеринбург ул. Академика Бардина 28,Комфорт класс,от 35 до 98 м2,Монолитно-кирпичный,4187000,10530000,35,98,7358500.0
